Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyResponseStatusCode(response3, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:35,2022-02-15 18:02:35,0.001s,PASSED
"idCardVar = getElementPropertyValue(response3, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:35,2022-02-15 18:02:35,0.000s,PASSED
card_response = response3.getResponseText(),,,,2022-02-15 18:02:35,2022-02-15 18:02:35,0.000s,PASSED
"println(""
	"" + card_response + ""
	"")",,,,2022-02-15 18:02:35,2022-02-15 18:02:35,0.000s,PASSED
"containsString(response3, cardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:35,2022-02-15 18:02:35,0.000s,PASSED
"response5 = sendRequest(findTestObject(""Object Repository/Trello/Webhook/Get data from Webhook"", [""idWebhook"":idWebhookVar]))",,,,2022-02-15 18:02:35,2022-02-15 18:02:36,0.656s,PASSED
"verifyResponseStatusCode(response5, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:36,2022-02-15 18:02:36,0.000s,PASSED
"response6 = sendRequest(findTestObject(""Object Repository/Trello/Webhook/Update a Webhook"", [""idWebhook"":idWebhookVar, ""description"":descriptionVar]))",,,,2022-02-15 18:02:36,2022-02-15 18:02:37,0.701s,PASSED
"verifyResponseStatusCode(response6, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:37,2022-02-15 18:02:37,0.000s,PASSED
"response7 = sendRequest(findTestObject(""Object Repository/Trello/Webhook/Delete a Webhook"", [""idWebhook"":idWebhookVar]))",,,,2022-02-15 18:02:37,2022-02-15 18:02:37,0.678s,PASSED
"verifyResponseStatusCode(response7, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:37,2022-02-15 18:02:37,0.000s,PASSED
,,,,,,,
Test Cases/Trello Api Automation/TC14 Move List to different Board,,,,2022-02-15 18:02:37,2022-02-15 18:02:41,3.720s,PASSED
"boardNameVar1 = ""Board from which list needed to be moved """,,,,2022-02-15 18:02:38,2022-02-15 18:02:38,0.000s,PASSED
"nameofListVar = ""List that needs to be moved""",,,,2022-02-15 18:02:38,2022-02-15 18:02:38,0.000s,PASSED
"boardNameVar2 = ""Board to which list needed to be moved""",,,,2022-02-15 18:02:38,2022-02-15 18:02:38,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar1]))",,,,2022-02-15 18:02:38,2022-02-15 18:02:39,0.920s,PASSED
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:39,2022-02-15 18:02:39,0.002s,PASSED
